time,seconds_elapsed,bearingAccuracy,speedAccuracy,verticalAccuracy,horizontalAccuracy,speed,bearing,altitude,longitude,latitude
1790096819965848800,-6.735151123046875,4.122167110443115,0.27018511295318604,1.856613039970398,3.7899999618530273,2.680000066757202,183,63.39999771118164,5.4586481,51.4308165
1790096828050957300,1.349957275390625,10.746599197387695,0.47801673412323,1.9374641180038452,5.802999973297119,1.7999999523162842,121,63.39999771118164,5.458847,51.4307181
1790096832965000000,6.264,0,0,1,20.545000076293945,0,0,63.39999771118164,5.458847,51.4307181
1790096839954000000,13.252999755859374,0,0,1,17.597999572753906,0,0,63.39999771118164,5.4595014,51.4303795
1790096846557000000,19.856,0,0,1,16.573999404907227,0,0,63.29999923706055,5.4600253,51.4301652
1790096853086000000,26.385000244140624,0,0,1.522648811340332,51.483001708984375,0,0,63.599998474121094,5.4594829,51.42983
1790096859971000000,33.27,0,0,1,14.8149995803833,0,0,63.599998474121094,5.4609371,51.4303854
1790096866415000000,39.714,0,0,1.392604947090149,12.951000213623047,0,0,63.599998474121094,5.4608796,51.4304457
1790096873193000000,46.492,0,0,1.321080207824707,19.54800033569336,0,0,63.5,5.4614764,51.4307375
1790096879697000000,52.996,0,0,1,14.876999855041504,0,0,63.39999771118164,5.4615625,51.4310289
