split,model,held_out,n,tp,fp,tn,fn,accuracy,balanced_accuracy,precision,recall,specificity,f1
grouped folds,"tree, depth by inner CV",fold 0,190,61,4,108,17,0.8894736842105263,0.8731684981684982,0.9384615384615385,0.782051282051282,0.9642857142857143,0.8531468531468531
grouped folds,"tree, depth by inner CV",fold 1,188,115,17,54,2,0.898936170212766,0.8717346815938365,0.8712121212121212,0.9829059829059829,0.7605633802816901,0.9236947791164658
grouped folds,"tree, depth by inner CV",fold 2,199,106,13,71,9,0.8894472361809045,0.883488612836439,0.8907563025210085,0.9217391304347826,0.8452380952380952,0.905982905982906
grouped folds,"tree, depth by inner CV",fold 3,191,85,24,82,0,0.8743455497382199,0.8867924528301887,0.7798165137614679,1.0,0.7735849056603774,0.8762886597938144
grouped folds,stump (depth 1),fold 0,190,61,4,108,17,0.8894736842105263,0.8731684981684982,0.9384615384615385,0.782051282051282,0.9642857142857143,0.8531468531468531
grouped folds,stump (depth 1),fold 1,188,115,17,54,2,0.898936170212766,0.8717346815938365,0.8712121212121212,0.9829059829059829,0.7605633802816901,0.9236947791164658
grouped folds,stump (depth 1),fold 2,199,112,1,83,3,0.9798994974874372,0.9810041407867496,0.9911504424778761,0.9739130434782609,0.9880952380952381,0.9824561403508772
grouped folds,stump (depth 1),fold 3,191,85,24,82,0,0.8743455497382199,0.8867924528301887,0.7798165137614679,1.0,0.7735849056603774,0.8762886597938144
grouped folds,full-depth tree,fold 0,190,58,6,106,20,0.8631578947368421,0.8450091575091575,0.90625,0.7435897435897436,0.9464285714285714,0.8169014084507042
grouped folds,full-depth tree,fold 1,188,112,1,70,5,0.9680851063829787,0.971590225111352,0.9911504424778761,0.9572649572649573,0.9859154929577465,0.9739130434782609
grouped folds,full-depth tree,fold 2,199,106,6,78,9,0.9246231155778895,0.9251552795031056,0.9464285714285714,0.9217391304347826,0.9285714285714286,0.9339207048458149
grouped folds,full-depth tree,fold 3,191,85,26,80,0,0.8638743455497382,0.8773584905660378,0.7657657657657657,1.0,0.7547169811320755,0.8673469387755102
grouped folds,baseline: threshold on vertbp_madiff,fold 0,190,60,4,108,18,0.8842105263157894,0.8667582417582418,0.9375,0.7692307692307693,0.9642857142857143,0.8450704225352113
grouped folds,baseline: threshold on vertbp_madiff,fold 1,188,113,2,69,4,0.9680851063829787,0.9688214758637295,0.9826086956521739,0.9658119658119658,0.971830985915493,0.9741379310344828
grouped folds,baseline: threshold on vertbp_madiff,fold 2,199,113,1,83,2,0.9849246231155779,0.9853519668737061,0.9912280701754386,0.9826086956521739,0.9880952380952381,0.9868995633187774
grouped folds,baseline: threshold on vertbp_madiff,fold 3,191,80,10,96,5,0.9214659685863874,0.9234184239733629,0.8888888888888888,0.9411764705882353,0.9056603773584906,0.9142857142857143
leave-one-participant-out,"tree, depth by inner CV",P01,198,103,0,88,7,0.9646464646464646,0.9681818181818183,1.0,0.9363636363636364,1.0,0.9671361502347418
leave-one-participant-out,"tree, depth by inner CV",P02,292,128,34,129,1,0.8801369863013698,0.8918295524801445,0.7901234567901234,0.9922480620155039,0.7914110429447853,0.8797250859106528
leave-one-participant-out,"tree, depth by inner CV",P03,278,136,4,118,20,0.9136690647482014,0.9195039932744851,0.9714285714285714,0.8717948717948718,0.9672131147540983,0.9189189189189189
leave-one-participant-out,stump (depth 1),P01,198,103,0,88,7,0.9646464646464646,0.9681818181818183,1.0,0.9363636363636364,1.0,0.9671361502347418
leave-one-participant-out,stump (depth 1),P02,292,128,34,129,1,0.8801369863013698,0.8918295524801445,0.7901234567901234,0.9922480620155039,0.7914110429447853,0.8797250859106528
leave-one-participant-out,stump (depth 1),P03,278,136,4,118,20,0.9136690647482014,0.9195039932744851,0.9714285714285714,0.8717948717948718,0.9672131147540983,0.9189189189189189
leave-one-participant-out,full-depth tree,P01,198,42,0,88,68,0.6565656565656566,0.6909090909090909,1.0,0.38181818181818183,1.0,0.5526315789473685
leave-one-participant-out,full-depth tree,P02,292,129,39,124,0,0.8664383561643836,0.8803680981595092,0.7678571428571429,1.0,0.7607361963190185,0.8686868686868687
leave-one-participant-out,full-depth tree,P03,278,109,2,120,47,0.8237410071942446,0.8411622530474989,0.9819819819819819,0.6987179487179487,0.9836065573770492,0.8164794007490637
leave-one-participant-out,baseline: threshold on vertbp_madiff,P01,198,100,0,88,10,0.9494949494949495,0.9545454545454546,1.0,0.9090909090909091,1.0,0.9523809523809523
leave-one-participant-out,baseline: threshold on vertbp_madiff,P02,292,128,20,143,1,0.928082191780822,0.9347743377562182,0.8648648648648649,0.9922480620155039,0.8773006134969326,0.924187725631769
leave-one-participant-out,baseline: threshold on vertbp_madiff,P03,278,138,4,118,18,0.920863309352518,0.9259142496847415,0.971830985915493,0.8846153846153846,0.9672131147540983,0.9261744966442953
