window_id,recording_id,participant,label,t_start,fold,vert_std,vert_iqr,vert_p2p,vert_p95abs,vert_madiff,vert_kurt,vert_skew,vert_zcr,vertbp_std,vertbp_iqr,vertbp_p2p,vertbp_p95abs,vertbp_madiff,vertbp_kurt,vertbp_skew,vertbp_zcr,horiz_std,horiz_iqr,horiz_p2p,horiz_p95abs,horiz_madiff,horiz_kurt,horiz_skew,horiz_zcr,gyro_std,gyro_iqr,gyro_p2p,gyro_p95abs,gyro_madiff,gyro_kurt,gyro_skew,gyro_zcr,tacc_std,tacc_iqr,tacc_p2p,tacc_p95abs,tacc_madiff,tacc_kurt,tacc_skew,tacc_zcr,vert_bp0.5-3,vert_bf0.5-3,vert_bp3-8,vert_bf3-8,vert_bp8-15,vert_bf8-15,vert_bp15-30,vert_bf15-30,vert_bp30-50,vert_bf30-50,vert_centroid,vert_domfreq,vert_spec_entropy,gyro_bp0.5-3,gyro_bf0.5-3,gyro_bp3-8,gyro_bf3-8,gyro_bp8-15,gyro_bf8-15,gyro_bp15-30,gyro_bf15-30,gyro_bp30-50,gyro_bf30-50,gyro_centroid,gyro_domfreq,gyro_spec_entropy
P01_B01_W000,P01_B01,P01,bumpy,5.166380859375004,1,2.3041375,2.8182843029499054,11.850039,4.6309342,0.82491934,2.8670883,-0.2391065,0.13784461152882205,1.6166539,1.8351082652807236,9.799101,3.298208,0.73844326,3.455238,0.41705072,0.19298245614035087,0.7110909,0.9034014195203781,3.8148751,1.3389888,0.4334058,3.6615753,0.75108033,0.2832080200501253,0.60670614,1.0177269577980042,2.6147573,1.0234225,0.09992704,2.0604992,-0.04184125,0.045112781954887216,2.2828438,2.7385146617889404,12.050138,4.663854,0.82189614,2.9041412,-0.24794877,0.14285714285714285,77463.06855304608,0.5269698704858764,32335.568132545995,0.21997411759161375,28168.827511565665,0.19162839354012443,8938.568227604996,0.06080776593564145,90.99043522233973,0.0006189945577967217,4.985249805159436,0.75,3.2738414717804742,9380.997068112814,0.8207055059343772,1544.2115057271628,0.13509682135871834,430.6350740275162,0.03767452156063188,72.93692600603211,0.006380956770847906,1.6119149610723391,0.00014101992294047232,2.3927007200078285,1.75,2.3920675712985298
P01_B01_W001,P01_B01,P01,bumpy,7.166380859375006,1,2.5280807,3.327349543571472,13.234467,5.100227,1.0432242,2.8264096,-0.07214593,0.16040100250626566,1.8363836,2.490900218486786,9.799101,3.5836234,0.9679219,2.8037817,0.266298,0.22055137844611528,0.8342665,1.0769062936306,4.957366,1.6394455,0.5501995,3.6616464,0.76766366,0.2982456140350877,0.62309307,1.0348690450191498,2.5887234,1.0761013,0.11723058,1.9701653,-0.16978997,0.05513784461152882,2.5170107,3.178297996520996,12.988951,5.1834946,1.043584,2.851142,-0.091173194,0.15538847117794485,79347.43195793824,0.41964951275293333,31513.440365292838,0.16666701830342875,68933.12773539049,0.36457075866080735,9169.784495799151,0.048496788122284494,115.89076110707543,0.0006129184049325154,6.417251854500127,1.0,3.328477866361763,8442.802259061331,0.8018016792660654,1188.4210184541291,0.11286276037661803,714.6044700393167,0.067865034203971,174.28652097885663,0.016551758634913736,9.659903584518776,0.0009173881701780569,2.847541825169312,1.75,2.527232257022949
P01_B01_W002,P01_B01,P01,bumpy,9.166380859375009,1,2.733553,3.6323725283145905,16.655676,5.3553023,1.0752525,3.0882359,0.18851103,0.16791979949874686,2.0266976,2.8520264327526093,12.951742,3.8146846,1.0219382,3.2571816,0.33772337,0.21052631578947367,0.8658291,1.1087622791528702,4.944579,1.6979719,0.56988573,3.6519458,0.8138978,0.2581453634085213,0.6215482,1.0054761320352554,2.6661112,1.0746353,0.120340735,2.0786288,-0.040517446,0.06766917293233082,2.7251546,3.5370397567749023,16.168762,5.3330774,1.0687803,3.0924006,0.19487524,0.15037593984962405,96867.03176722159,0.443731043080499,61814.30509370152,0.2831605921655373,47340.43190120922,0.2168582937266502,12070.338064138778,0.05529212160031251,209.06061023204757,0.0009576703337853593,5.874906970572723,1.0,3.496583795575898,9431.787710426543,0.7588860206450837,2344.792122517075,0.1886630634328017,536.6700143908906,0.04318071866380296,111.69141350208373,0.008986743015761502,3.5228925139925265,0.00028345356820835805,2.5622917377631755,1.75,2.584198320029401
P01_B01_W003,P01_B01,P01,bumpy,11.16638085937501,1,2.619926,3.66306009888649,15.502157,5.0556064,0.8434621,3.0570405,0.251987,0.11779448621553884,1.9445852,2.6804906725883484,12.951742,3.5793169,0.7946753,3.5588245,0.32561007,0.16290726817042606,0.76292497,0.9690742194652557,4.1952214,1.4725327,0.4288706,4.405727,1.0880281,0.22305764411027568,0.634913,1.048637866973877,2.6963644,1.0208372,0.10694606,1.9703397,-0.029753217,0.05764411027568922,2.6071289,3.6860568523406982,15.163882,5.0614166,0.8334908,3.0801568,0.30011585,0.11278195488721804,95092.04406220133,0.46015567029199234,67178.09282760584,0.32507851354845557,36140.268578589465,0.17488476219351642,8139.615405252691,0.03938804996423349,101.88020009690965,0.0004930039334774449,4.793258874379592,1.0,3.442411004989522,9662.445350651802,0.8146664046830745,1695.3703743196168,0.14294117455060082,448.96466425399296,0.03785340207206152,47.47082535402204,0.004002391238972493,6.357986393976607,0.0005360587023920838,2.3723592267855147,1.75,2.4280923472201232
P01_B01_W004,P01_B01,P01,bumpy,13.16638085937501,1,2.1183593,3.0746781527996063,12.225158,3.9382987,0.67015666,3.117255,0.31159553,0.11779448621553884,1.5854796,2.187313497066498,9.114668,3.0454633,0.6290546,3.1007404,0.25403997,0.15789473684210525,0.7126302,0.8298288285732269,4.2044096,1.3256171,0.36865705,5.428618,1.4044386,0.19047619047619047,0.57808495,1.0031282156705856,2.2450485,0.9190328,0.09075859,1.8638268,0.11074864,0.05012531328320802,2.1184242,3.0099575519561768,12.71438,3.994101,0.6820261,3.2107368,0.34270355,0.12280701754385964,48294.2462441267,0.33928642597347014,57744.28314785852,0.40567672079610645,32039.835251312325,0.22509267742259453,4122.730851523709,0.028963835749567245,138.39007819755597,0.0009722457367796295,5.497596148527335,0.75,3.5516623908651925,7125.472920646234,0.8519564205202173,524.20878443475,0.0626769681908748,655.5688732843747,0.07838302340178903,54.65991947383444,0.006535407524449325,3.7201644445041238,0.00044480107063530456,2.4258069207016497,1.5,2.4845145532532618
P01_B01_W005,P01_B01,P01,bumpy,15.166380859375014,1,2.0873544,2.8471599221229553,13.929987,4.053683,0.8365576,3.613388,-0.026213912,0.16791979949874686,1.7270823,2.2580061554908752,11.012265,3.494991,0.7620517,3.2136936,0.14830199,0.17794486215538846,0.8881676,1.0197417587041855,5.4328785,1.8373339,0.43992114,4.9631376,1.388957,0.19298245614035087,0.49196428,0.7861810475587845,1.954577,0.8634003,0.08557706,1.9467795,0.03821053,0.045112781954887216,2.0742877,2.6963846683502197,14.18659,4.311061,0.8334918,3.4919097,0.069681585,0.16040100250626566,33710.072870048956,0.2809929041679945,40462.984807365065,0.3372823208112643,30472.588633791693,0.25400660540646625,14916.113049279984,0.12433440713025715,405.40965000960773,0.0033793233071039773,7.208547804323719,0.75,3.8186567890019267,6627.909661461102,0.8997478638580176,372.8778279285075,0.050618678632492566,293.4153387198472,0.039831536294379924,68.06290660834838,0.009239633301720224,4.142025374929467,0.0005622856486424916,2.066880718657854,1.5,2.2571651347025297
P01_B01_W006,P01_B01,P01,bumpy,17.166380859375014,1,2.0844662,2.466102361679077,13.393045,4.3320346,0.858297,3.5808344,-0.35544342,0.18546365914786966,1.6943389,2.3163766860961914,10.083033,3.4054904,0.78198,2.9433525,0.014814968,0.17794486215538846,0.8962086,1.1907130926847458,5.3939877,1.7173244,0.48546213,4.103796,1.0655489,0.21303258145363407,0.5267107,0.8566705882549286,2.3626652,0.8987525,0.091686696,2.0961132,0.07258389,0.06265664160401002,2.0549269,2.514291286468506,12.906292,4.290086,0.8419125,3.3701582,-0.29077673,0.17042606516290726,44013.82267816313,0.3099779780197498,39970.7460452529,0.28150363420252433,45671.668637532784,0.32165375865146895,12024.772474662455,0.0846873648103444,308.2996519861508,0.002171274770784075,7.036002461282011,0.75,3.7047916442196005,7207.884752649648,0.8635886550354143,680.329044870066,0.08151135388574185,366.43090029892664,0.04390269534154793,86.72372370591708,0.010390513511932138,5.059024116888806,0.0006061300898699437,2.310810939621279,1.5,2.5001471796957366
P01_B01_W007,P01_B01,P01,bumpy,19.166380859375018,1,1.8819923,2.484607219696045,9.655256,3.707495,0.7603088,2.80578,-0.20712613,0.18295739348370926,1.3981938,2.0123365819454193,7.1602993,2.6385195,0.6634626,2.546778,0.22727387,0.18295739348370926,0.7368342,1.0371186286211014,3.8459892,1.2904238,0.47474346,3.2678246,0.786503,0.2656641604010025,0.51606923,0.8514352440834045,2.3626652,0.9064503,0.09090134,2.1492333,-0.024673404,0.06516290726817042,1.8684593,2.4700868129730225,9.530186,3.8830962,0.7529092,2.7999473,-0.21842007,0.17293233082706766,40358.78705241481,0.3859056591058473,26862.492300089893,0.25685578168711787,28558.053005101985,0.2730685204538177,8604.538672918918,0.08227551941940356,198.10186328799406,0.0018942251664541938,6.195283866971938,0.75,3.594394539559797,6776.6263309205415,0.8700599676650994,559.1519549634578,0.07179025492900348,359.9520515887321,0.04621471733468531,87.50324923756204,0.011234657259297696,5.447594888300085,0.0006994238727226803,2.2048408024233517,1.5,2.3898586923184024
P01_B01_W008,P01_B01,P01,bumpy,21.166380859375018,1,1.8483675,2.478133797645569,10.043869,3.606074,0.78448397,2.7733393,-0.123059615,0.16290726817042606,1.4059004,2.121348053216934,7.29858,2.6502995,0.69901085,2.5905242,0.3076979,0.19298245614035087,0.74359024,0.9433847367763519,4.136491,1.384757,0.4821316,4.2466426,1.1014819,0.2907268170426065,0.5112121,0.8660488873720169,2.235355,0.8956561,0.08893164,2.1056862,-0.169534,0.06265664160401002,1.8346299,2.485011577606201,10.156731,3.5082796,0.77078706,2.7668262,-0.10127186,0.15789473684210525,40087.30416304143,0.39626325981166743,24532.478792179336,0.24250371084848785,21744.11761868349,0.21494074269159097,14500.606587392773,0.1433385894994752,297.60797122100365,0.0029418567120983565,6.637931938273973,0.75,3.7269082428357923,6564.797132301838,0.8518786910017238,796.8011520425047,0.10339663339339658,252.80443360835727,0.032805082265536446,88.11002852220071,0.011433568204612388,3.7421800254316304,0.0004856027318607659,2.124922480826132,1.5,2.420315635229065
P01_B01_W009,P01_B01,P01,bumpy,23.16638085937502,1,1.928323,2.5531376600265503,10.432251,3.696627,0.8247421,2.965212,-0.15914868,0.17293233082706766,1.453128,1.9612830132246017,8.4818535,2.896031,0.77470213,3.072273,0.27920678,0.22556390977443608,0.7828965,0.8812010735273361,5.233886,1.5615898,0.48387524,6.487655,1.5651081,0.2731829573934837,0.54201275,0.9079487472772598,2.2463372,0.94124526,0.09502356,2.091473,-0.10608282,0.06265664160401002,1.9123484,2.414607048034668,10.643549,3.5924838,0.8214433,2.9284267,-0.10577777,0.16290726817042606,39882.199085289416,0.35793741219912967,27850.662979427496,0.2499559819549514,34981.171742428785,0.3139513461231551,8574.911636903218,0.07695868712218148,132.7651782890214,0.0011915497499348472,6.723462270275056,0.75,3.7378073696347194,7389.742675413124,0.8370157278081716,816.4004611006558,0.09247142372151546,465.1040760987242,0.052681053165434755,154.38183507756014,0.017486403752290474,3.025032846258812,0.00034263710939209295,2.455729660524362,1.5,2.553948027678033
