time,seconds_elapsed,bearingAccuracy,speedAccuracy,verticalAccuracy,horizontalAccuracy,speed,bearing,altitude,longitude,latitude
1790096905532000000,0.284,0,0,1,17.52400016784668,0,0,63.5,5.4626862,51.4318427
1790096912293000000,7.045,0,0,1,15.878999710083008,0,0,63.39999771118164,5.4625229,51.4321877
1790096919089000000,13.841,0,0,1,17.15999984741211,0,0,63.599998474121094,5.4620656,51.4323287
1790096925793000000,20.545,0,0,1,18.110000610351562,0,0,63.29999923706055,5.4617207,51.4324752
1790096932555000000,27.307,0,0,1,18.951000213623047,0,0,63.29999923706055,5.4614437,51.4326391
1790096939006000000,33.758000244140625,0,0,1,14.032999992370605,0,0,62.89999771118164,5.4610575,51.4328555
1790096945541000000,40.293,0,0,1.6838382482528687,21.06800079345703,0,0,62.89999771118164,5.4611855,51.4331102
1790096952131000000,46.883,0,0,1,34.349998474121094,0,0,63.099998474121094,5.461626,51.4332105
1790096958680000000,53.432,0,0,1,19.69300079345703,0,0,63,5.462208,51.4336214
1790096965225000000,59.977,0,0,1,26.825000762939453,0,0,62.89999771118164,5.4624543,51.4336738
1790096971976046000,66.72804614257812,16.396404266357422,1.4317821264266968,1.0675104856491089,6.4070000648498535,4.980000019073486,44,62.89999771118164,5.4630051,51.4336691
