time,seconds_elapsed,z,y,x
1790097184813778176,0.1247783203125,0.1884463727474212,-0.2341835647821426,0.1624090075492859
1790097184823778304,0.1347783203125,0.334693191147399,-0.15586571709204372,0.14796571588527355
1790097184833778176,0.14477832031250001,0.35376612479290526,-0.08349538913582662,0.19822680229134676
1790097184843778304,0.15477832031250002,0.2599155008792877,-0.1859266310930252,0.3328354060649872
1790097184853778176,0.16477832031250003,0.21697352902560146,-0.21246715546474193,0.3830834775491466
1790097184863778304,0.17477832031250004,0.06293064574668172,-0.28067900153920816,0.5483826359447583
1790097184873778176,0.18477832031250005,0.0149657577276229,-0.2488439083099365,0.5704549551010132
1790097184883778304,0.19477832031250006,0.0037451656602574684,-0.2699803689672485,0.5767176214270908
1790097184893778176,0.20477832031250007,-0.013388188041021895,-0.20915586960765614,0.5332256878106298
1790097184903778304,0.21477832031250008,0.0011982357853371258,0.025900454435587292,0.4422587404176238
1790097184913778176,0.22477832031250009,0.0149657577276229,0.1420983374118805,0.4122455418109894
1790097184923778304,0.2347783203125001,0.06704252142024511,0.37300960134617256,0.38272171720076853
1790097184933778176,0.2447783203125001,0.15337997490009286,0.70750907662866,0.38123706168442156
1790097184943778304,0.25477832031250014,0.20130347860704723,0.9318987827419882,0.4455874508716131
1790097184953778176,0.26477832031250015,0.16206715060722368,1.015188239297323,0.4887735060275401
1790097184963778304,0.27477832031250016,-0.011833955354701137,0.6338355553951756,0.23403428621769562
1790097184973778176,0.28477832031250017,-0.05760075872607951,0.5889202713611257,0.15041185633928583
1790097184983778304,0.2947783203125002,-0.0766613334417343,0.6229115128517151,0.1685174852609634
1790097184993778176,0.3047783203125002,-0.08087147034144303,0.6085970457787989,0.17008125058377935
1790097185003778304,0.3147783203125002,-0.13091676570120128,0.439911706004267,0.17650810866751176
1790097185013778176,0.3247783203125002,-0.19096180020260525,0.14858545757788327,0.1140416547562048
1790097185023778304,0.3347783203125002,-0.13299165723948433,-0.41174249222607345,0.022525592573085125
1790097185033778176,0.3447783203125002,0.0100789796561002,-1.0020185708999634,-0.0226777046918869
1790097185043778304,0.35477832031250023,0.13112928406159496,-0.6775741690949786,0.0803753052786468
1790097185053778176,0.36477832031250024,0.3100049793720245,-0.1981435865163803,0.2326564490795135
1790097185063778304,0.37477832031250025,0.5039426353098654,0.24146715329049134,0.3280198277154667
1790097185073778176,0.38477832031250025,0.6879157378410775,0.7223971711077763,0.21088824779577872
1790097185083778304,0.39477832031250026,0.4117459921125074,0.20524513351617346,-0.066391878603772
1790097185093778176,0.4047783203125003,0.2580829560756683,-0.1083490327000618,-0.1393495351076126
1790097185103778304,0.4147783203125003,-0.08327971702027337,-0.8902858983791737,-0.24984571546405387
1790097185113778176,0.4247783203125003,-0.3264695994657137,-1.5113897905388418,-0.2697043514272702
1790097185123778304,0.4347783203125003,-0.2914716005711294,-1.4224806425176364,-0.21308607907307262
1790097185133778176,0.4447783203125003,-0.07071454340332498,-0.8451180999828007,-0.1524136744770772
1790097185143778304,0.4547783203125003,0.42711161203821063,0.4340673571284034,-0.2527331917949255
1790097185153778176,0.4647783203125003,0.6319214701652527,0.9491039514541626,-0.4099548757076263
1790097185163778304,0.47477832031250033,0.6482743776044722,0.99600440027826,-0.43660097441461804
1790097185173778176,0.48477832031250034,0.749852681830052,1.3532932926932038,-0.6328607278743494
1790097185183778304,0.49477832031250035,0.7620989748982894,1.6366981790511983,-0.7211435468051578
1790097185193778176,0.5047783203125004,0.8255600929260254,1.7590874433517456,-0.660402238368988
1790097185203778304,0.5147783203125004,0.962048733794877,1.7695329972861154,-0.5364482667513641
1790097185213778176,0.5247783203125004,1.184738278388977,1.7865755558013916,-0.3342097997665405
1790097185223778304,0.5347783203125004,1.3310215958331404,1.8249097193396686,-0.2725683930983718
