time,seconds_elapsed,z,y,x
1789030684364981200,0.009981201171875,3.6975451889038085,-8.087463570404053,-4.152144229125977
1789030684374985200,0.019985107421875,3.6730046218872068,-8.046762142181397,-4.169801466369629
1789030684384989200,0.0299892578125,3.6694133193969725,-7.983914348602294,-4.173392768859863
1789030684394992000,0.0399921875,3.6858734558105466,-7.982717247772216,-4.162918136596679
1789030684404995600,0.04999560546875,3.6920085975646972,-8.023568313598632,-4.127603662109375
1789030684414998800,0.059998779296875,3.6520553573608394,-8.026112152862549,-4.106504759979248
1789030684425002800,0.070002685546875,3.627365152740478,-7.9843632614135736,-4.119074318695068
1789030684435005700,0.080005615234375,3.647266954040527,-7.975983555603027,-4.105756571960449
1789030684445009700,0.090009765625,3.661332888793945,-8.003816149902343,-4.09258846282959
1789030684455013600,0.100013671875,3.6605847007751464,-8.025513602447509,-4.109647149658203
1789030684465016800,0.110016845703125,3.6255695014953613,-8.02536396484375,-4.109347874450683
1789030684475020800,0.120020751953125,3.593696691894531,-8.01877991027832,-4.109946424865722
1789030684485023700,0.130023681640625,3.601328209686279,-8.036586785125731,-4.111891713714599
1789030684495027700,0.14002783203125,3.6043209617614744,-8.057835324859619,-4.13718046875
1789030684505031000,0.150031005859375,3.6284126159667967,-8.092251973724364,-4.113088814544677
1789030684515034600,0.16003466796875,3.665223466491699,-8.058284237670899,-4.088997160339355
1789030684525038600,0.17003857421875,3.651307169342041,-8.018330997467041,-4.099920705413818
1789030684535041800,0.180041748046875,3.651307169342041,-7.994239343261718,-4.133589166259766
1789030684545045800,0.190045654296875,3.6680665809631345,-8.033743670654296,-4.16261886138916
1789030684555048700,0.200048583984375,3.669114044189453,-8.022820125579834,-4.189403992462158
1789030684565052700,0.210052734375,3.7126585868835447,-7.990648040771484,-4.187757978820801
1789030684575056000,0.220055908203125,3.6917093223571773,-7.99917738418579,-4.198681523895264
1789030684585059800,0.230059814453125,3.6399347114562985,-8.04511612854004,-4.179827185821533
1789030684595063800,0.240063720703125,3.6305075424194335,-8.029853092956543,-4.170400016784668
1789030684605066800,0.250066650390625,3.6329017440795894,-7.987804926300049,-4.1624692237854
1789030684615070700,0.26007080078125,3.651307169342041,-7.999327021789551,-4.1569326324462885
1789030684625073700,0.27007373046875,3.6529531829833983,-8.001421948242188,-4.1301475013732905
1789030684635077600,0.28007763671875,3.6644752784729,-7.987954563903808,-4.099322154998779
1789030684645081900,0.290081787109375,3.680486502075195,-7.977479931640625,-4.105606934356689
1789030684655084800,0.300084716796875,3.6572926734924316,-7.959224143981933,-4.097077590942383
1789030684665088800,0.3100888671875,3.6679169433593746,-7.9557824790954585,-4.105756571960449
1789030684675091700,0.320091796875,3.6731542594909667,-7.980921596527099,-4.122815258789062
1789030684685095700,0.330095703125,3.6674680305480956,-7.985709999847412,-4.135085542297363
1789030684695099000,0.340098876953125,3.641730362701416,-7.969100225830077,-4.102464544677734
1789030684705102600,0.3501025390625,3.6534020957946773,-7.957428492736816,-4.096329402923584
1789030684715106800,0.36010693359375,3.684975630187988,-7.973738991546631,-4.116680117034912
1789030684725109800,0.37010986328125,3.6743513603210447,-7.966855661773681,-4.120570694732666
1789030684735114000,0.380114013671875,3.6734535346984862,-7.970746239471435,-4.13718046875
1789030684745116700,0.39011669921875,3.6520553573608394,-7.987206375885009,-4.165910888671875
1789030684755120600,0.40012060546875,3.6373908721923827,-7.956231391906738,-4.1846155891418455
1789030684765124900,0.410124755859375,3.643077101135254,-7.953238639831542,-4.213046733856201
1789030684775127600,0.42012744140625,3.6233249374389644,-7.952340814208984,-4.220678251647949
1789030684785131800,0.4301318359375,3.6118028419494626,-7.941566906738281,-4.208108692932129
1789030684795134700,0.440134765625,3.63275210647583,-7.958475955963134,-4.1754876953124995
1789030684805139000,0.450138916015625,3.6381390602111816,-7.98002377090454,-4.18805725402832
1789030684815141600,0.4601416015625,3.611503566741943,-7.977479931640625,-4.230255058288574
1789030684825145600,0.4701455078125,3.6017771224975585,-7.953388277435303,-4.251653235626221
