time,seconds_elapsed,bearingAccuracy,speedAccuracy,verticalAccuracy,horizontalAccuracy,speed,bearing,altitude,longitude,latitude
1789323563544000000,-3.402,0,0,1.4014594554901123,21.009000778198242,0,0,63.89999771118164,5.4545332,51.4289064
1789323572506000000,5.559999755859375,0,0,1,15.36400032043457,0,0,63.599998474121094,5.4547986,51.4285542
1789323579312000000,12.366,0,0,1.0695244073867798,12.76200008392334,0,0,63.79999923706055,5.4549882,51.4284649
1789323585913000000,18.967,0,0,1.1355271339416504,34.948001861572266,0,0,63.70000076293945,5.4551225,51.4280559
1789323592506000000,25.559999755859376,0,0,1.3679357767105103,24.71500015258789,0,0,63.599998474121094,5.4551815,51.4280531
1789323599031000000,32.085,0,0,1,16.31599998474121,0,0,63.79999923706055,5.4558293,51.4278898
1789323604659179800,37.7131796875,15.985058784484863,1.1067520380020142,1.0562818050384521,8.20300006866455,3.759999990463257,166,63.79999923706055,5.4559295,51.4276946
1789323605653142500,38.707142578125,8.41347885131836,0.7218033075332642,1.0662214756011963,6.9720001220703125,3.7699999809265137,185,63.79999923706055,5.4559303,51.4276694
1789323606653309400,39.707309326171874,2.7419657707214355,0.3023243248462677,1.0762231349945068,6.235000133514404,4.079999923706055,210,63.79999923706055,5.4559023,51.4276444
1789323607652034800,40.706034912109374,0.9012767672538757,0.09433981031179428,1.0862103700637817,5.734000205993652,3.680000066757202,218,63.79999923706055,5.4558638,51.4276224
1789323608650364200,41.7043642578125,1.0906206369400024,0.10000000149011612,1.0961936712265015,5.38100004196167,3.559999942779541,215,63.79999923706055,5.4558286,51.4275965
1789323609656667400,42.71066748046875,1.2426425218582153,0.10000000149011612,1.1062567234039307,5.14900016784668,3.4800000190734863,222,63.79999923706055,5.455793,51.427573
1789323610656181000,43.71018090820313,1.0109590291976929,0.09433981031179428,1.116251826286316,4.1479997634887695,3.569999933242798,223,63.79999923706055,5.4557569,51.4275504
