time,seconds_elapsed,z,y,x
1789323720518974000,0.173973876953125,8.946969032287598,3.6666665077209473,-1.6363633871078491
1789323720556674300,0.21167431640625,8.882959365844727,3.7852087020874023,-1.713364839553833
1789323720575524400,0.2305244140625,8.86709213256836,3.8559927940368652,-1.63596510887146
1789323720594374400,0.24937451171875,8.887927055358887,3.8479506969451904,-1.5389684438705444
1789323720613224400,0.268224365234375,8.896942138671875,3.831374168395996,-1.5281974077224731
1789323720632074800,0.28707470703125,8.89196491241455,3.8452131748199463,-1.5223965644836426
1789323720650924800,0.3059248046875,8.895792007446289,3.8670494556427,-1.4426363706588745
1789323720669774800,0.32477490234375,8.917810440063477,3.8822672367095947,-1.2534117698669434
1789323720688625000,0.343625,8.940744400024414,3.9007742404937744,-1.0086861848831177
1789323720707475200,0.36247509765625,8.95913314819336,3.9144132137298584,-0.762700080871582
1789323720726325200,0.3813251953125,8.960139274597168,3.937807321548462,-0.6164163947105408
1789323720745175300,0.40017529296875,8.938360214233398,3.990569829940796,-0.592829167842865
1789323720764025300,0.419025390625,8.91148853302002,4.0565948486328125,-0.5475361943244934
1789323720782875600,0.437875732421875,8.894556045532227,4.114006519317627,-0.363574355840683
1789323720801725700,0.4567255859375,8.8638277053833,4.1937947273254395,-0.1226361095905304
1789323720820575700,0.47557568359375,8.823724746704102,4.279263496398926,0.012832685373723507
1789323720839426000,0.494426025390625,8.808884620666504,4.309262275695801,0.06481564790010452
1789323720858276000,0.513276123046875,8.81002140045166,4.3049726486206055,0.14533932507038116
1789323720877126100,0.532126220703125,8.804637908935547,4.3097825050354,0.2729860544204712
1789323720895976200,0.55097607421875,8.78361988067627,4.336906433105469,0.45787909626960754
1789323720914826500,0.569826416015625,8.75009536743164,4.379108428955078,0.6554696559906006
1789323720933676500,0.588676513671875,8.70807933807373,4.4382147789001465,0.8012489080429077
1789323720952526600,0.607526611328125,8.675375938415527,4.491631984710693,0.8564481735229492
1789323720971377000,0.626376953125,8.658763885498047,4.517914295196533,0.8857983350753784
1789323720990227000,0.64522705078125,8.640189170837402,4.535224437713623,0.9743027091026306
1789323721009077000,0.664076904296875,8.590009689331055,4.586370944976807,1.160741925239563
1789323721027927000,0.682927001953125,8.514225006103516,4.678907871246338,1.3364802598953247
1789323721046777300,0.70177734375,8.463561058044434,4.764486789703369,1.3557994365692139
1789323721065627400,0.72062744140625,8.45709228515625,4.78895902633667,1.3091368675231934
1789323721084477700,0.739477783203125,8.464421272277832,4.788610458374023,1.2622050046920776
1789323721103327700,0.75832763671875,8.443113327026367,4.840332508087158,1.206404209136963
1789323721122177800,0.777177734375,8.410237312316895,4.942508220672607,1.0049359798431396
1789323721141027800,0.79602783203125,8.428189277648926,4.965853691101074,0.6901523470878601
1789323721159878100,0.814878173828125,8.513729095458984,4.857433319091797,0.30356696248054504
1789323721188153300,0.8431533203125,8.685649871826172,4.533685207366943,-0.4190094470977783
1789323721207003400,0.86200341796875,8.765512466430664,4.331997394561768,-0.754973828792572
1789323721235278600,0.890278564453125,8.840594291687012,4.140347003936768,-0.9336981177330017
1789323721254129000,0.90912890625,8.872394561767578,4.063508033752441,-0.968973696231842
1789323721272979000,0.92797900390625,8.943202018737793,3.904766798019409,-0.9707346558570862
1789323721291829000,0.9468291015625,9.098394393920898,3.5026538372039795,-1.0587818622589111
1789323721310679300,0.96567919921875,9.289031982421875,2.849695920944214,-1.327971339225769
1789323721329529300,0.984529296875,9.434449195861816,2.1023905277252197,-1.655748963356018
1789323721348379400,1.00337939453125,9.517321586608887,1.5041898488998413,-1.8243855237960815
1789323721367229700,1.022229736328125,9.559175491333008,1.0902419090270996,-1.898398756980896
1789323721386079700,1.041079833984375,9.575418472290039,0.7383712530136108,-1.9840739965438843
1789323721404929800,1.0599296875,9.600736618041992,0.3586304485797882,-1.9666279554367065
1789323721423780000,1.078780029296875,9.62863540649414,-0.0920654833316803,-1.857764720916748
1789323721442630100,1.097630126953125,9.630396842956543,-0.6458479762077332,-1.73456871509552
1789323721461480400,1.11648046875,9.567269325256348,-1.3119354248046875,-1.7077980041503906
1789323721480330500,1.13533056640625,9.419454574584961,-2.0211968421936035,-1.832765817642212
1789323721499180500,1.1541806640625,9.214310646057129,-2.7030773162841797,-1.9900379180908203
1789323721518030800,1.17303076171875,8.986693382263184,-3.3608810901641846,-2.028351068496704
1789323721536881000,1.191880859375,8.685969352722168,-4.008190155029297,-2.1584129333496094
1789323721555731200,1.210731201171875,8.273955345153809,-4.636839866638184,-2.492337942123413
1789323721602856400,1.2578564453125,6.71819543838501,-6.068816184997559,-3.7690465450286865
1789323721621706800,1.276706787109375,5.936287879943848,-6.490148067474365,-4.336918354034424
1789323721640556800,1.295556884765625,5.228778839111328,-6.719874382019043,-4.8655476570129395
1789323721659406800,1.31440673828125,4.557037830352783,-6.820489883422852,-5.374449729919434
1789323721678257200,1.333257080078125,3.9745733737945557,-6.838711261749268,-5.796998500823975
1789323721697107200,1.352107177734375,3.5569729804992676,-6.811224937438965,-6.093072891235352
1789323721715957500,1.37095751953125,3.1420624256134033,-6.74301290512085,-6.389805316925049
1789323721734807600,1.3898076171875,2.9003875255584717,-6.5465497970581055,-6.700806617736816
1789323721753657900,1.408657958984375,2.9512250423431396,-6.22696590423584,-6.977503776550293
1789323721772508000,1.4275078125,3.2538883686065674,-5.907872200012207,-7.118963718414307
1789323721800783000,1.455783203125,3.725404977798462,-5.61398458480835,-7.125651836395264
1789323721819633400,1.47463330078125,3.887545585632324,-5.529507637023926,-7.105062961578369
1789323721838483500,1.4934833984375,3.9875855445861816,-5.467368125915527,-7.097706317901611
1789323721857333800,1.512333740234375,3.9170072078704834,-5.435746192932129,-7.161012172698975
1789323721876183800,1.531183837890625,3.729705572128296,-5.292440891265869,-7.365443229675293
1789323721895034000,1.5500341796875,3.601560115814209,-5.08995246887207,-7.569117546081543
1789323721913884200,1.56888427734375,3.641756296157837,-4.903805255889893,-7.672072410583496
1789323721932734500,1.587734375,3.7235920429229736,-4.809208393096924,-7.692642688751221
1789323721951584500,1.60658447265625,3.7092161178588867,-4.856683731079102,-7.6697282791137695
1789323721970434800,1.625434814453125,3.6576883792877197,-5.015781402587891,-7.591683387756348
1789323721989284900,1.644284912109375,3.7418439388275146,-5.289524078369141,-7.361380100250244
1789323722008135200,1.66313525390625,4.000959396362305,-5.747250556945801,-6.865261554718018
1789323722026985200,1.681985107421875,4.346047878265381,-6.347443580627441,-6.082122802734375
1789323722045835300,1.700835205078125,4.5818071365356445,-6.92413330078125,-5.218602180480957
1789323722064685600,1.719685546875,4.686965465545654,-7.344501972198486,-4.50122594833374
1789323722083536000,1.738535888671875,4.700289726257324,-7.457034587860107,-4.297708034515381
1789323722102386000,1.757385986328125,4.674454689025879,-7.3654279708862305,-4.479991436004639
1789323722121236200,1.776236328125,4.589843273162842,-7.351742744445801,-4.588637828826904
1789323722140086300,1.795086181640625,4.416538238525391,-7.432146072387695,-4.6290154457092285
1789323722158936300,1.813936279296875,4.225654125213623,-7.529194355010986,-4.650318622589111
1789323722177786600,1.83278662109375,4.007383823394775,-7.62693977355957,-4.6841278076171875
1789323722196636700,1.85163671875,3.7368369102478027,-7.732455730438232,-4.734508037567139
1789323722215487000,1.870487060546875,3.465303897857666,-7.830475807189941,-4.77971887588501
1789323722234337300,1.889337158203125,3.222489833831787,-7.953686714172363,-4.746030807495117
1789323722253187300,1.908187255859375,3.040550470352173,-8.081449508666992,-4.649258136749268
1789323722272037600,1.92703759765625,2.769549608230591,-8.202608108520508,-4.606212139129639
