time,seconds_elapsed,x,y,z
1789031091622011100,0.04001123046875,2.5598504875183106,-8.60476018207967,1.1812393902100622
1789031091632014300,0.050014404296875,2.4013842651367185,-8.51093798904419,1.1335047023497518
1789031091642018300,0.060018310546875,2.4805428497865796,-8.650999955207109,0.9904512992858886
1789031091652022000,0.07002197265625,2.5252839087888597,-8.837745346611737,0.7809586540222168
1789031091662025200,0.080025146484375,2.6348189270019526,-8.807370082092286,0.6967126831054689
1789031091672029200,0.090029296875,2.67821353983134,-8.57363497597575,0.7288844756528734
1789031091682032400,0.100032470703125,2.6954221565246583,-8.303240995025634,0.7029973163329064
1789031091692036000,0.1100361328125,2.6657936187192797,-8.212112278857829,0.8623613643370568
1789031091702040300,0.120040283203125,2.395847673797607,-8.547150289154052,1.288828388921916
1789031091712043300,0.130043212890625,2.1730369895383714,-9.347261971935627,1.9512740607663988
1789031091722047200,0.140047119140625,2.118868761499226,-10.848577219501138,2.9227219688966866
1789031091732051200,0.15005126953125,2.3671172538757324,-13.148207329559327,3.498227608434856
1789031091742054100,0.16005419921875,2.5893290954589845,-15.600019467163087,2.7727849437989294
1789031091752058400,0.170058349609375,2.4919150154113767,-16.926707046619057,1.6549918975830078
1789031091762061000,0.18006103515625,2.881122422790527,-16.841563250079748,0.5382467529848219
1789031091772065300,0.190065185546875,3.5021184783935553,-15.464896710968016,0.10624299093037837
1789031091782069500,0.200069580078125,3.923497970581054,-13.377901051330566,0.35643691828623414
1789031091792072400,0.210072509765625,3.8901282004207376,-11.186757034954429,1.494430748748779
1789031091802076400,0.220076416015625,4.388721280670166,-9.216180015563964,2.716071999713033
1789031091812080400,0.230080322265625,4.700865322113037,-7.691372833251953,2.6446953011110423
1789031091822083600,0.24008349609375,4.0252515411376955,-7.102099949645996,1.2238858880858867
1789031091832087600,0.250087646484375,4.6302360808774825,-6.561759146991371,1.4155715123716741
1789031091842091300,0.26009130859375,5.084536138153076,-6.798635473743081,1.2708719495359806
1789031091852094500,0.270094482421875,4.518756358337402,-7.624484824371336,1.1529577735016123
1789031091862098400,0.280098388671875,3.349937035369873,-8.706514337158204,0.7169138692108913
1789031091872101600,0.2901015625,2.803012178149819,-8.910770835334061,0.6325182424240745
1789031091882105300,0.300105224609375,2.9508535461425778,-8.358906183624267,0.826597869723907
1789031091892109300,0.310109375,3.1232360656738285,-7.669376105499267,0.7534252801314929
1789031091902112500,0.320112548828125,3.5848680732727045,-7.494000833892822,0.6168065314913168
1789031091912116500,0.330116455078125,4.50095006801188,-7.953389446479081,0.19916790633257486
1789031091922120400,0.340120361328125,4.7631145652771,-7.944410021209716,0.02109941358678047
1789031091932123400,0.350123291015625,4.007744233758747,-7.238421560236812,0.37828364310897866
1789031091942127400,0.36012744140625,3.9462434708744287,-6.156690153613686,1.3938738406307998
1789031091952131600,0.370131591796875,4.860827920532226,-5.2569186576843245,2.7232550430849196
1789031091962134300,0.38013427734375,5.503372375598549,-4.810700492316485,3.3571196403503416
1789031091972138500,0.390138427734375,4.821473815265298,-5.241058240729569,2.7600656013488774
1789031091982142500,0.400142578125,4.165013063049316,-6.506243011474609,1.6594813179567462
1789031091992145700,0.410145751953125,4.420294230541586,-8.243384784477948,0.35269553980082247
1789031092002149400,0.4201494140625,4.450521611022949,-9.279626944079995,-0.7769180003292862
1789031092012153300,0.4301533203125,4.208557313482463,-9.451559966278076,-0.6477813328064974
1789031092022156500,0.440156494140625,4.256890844018757,-9.116971453315019,-0.36870705566406237
1789031092032160500,0.450160400390625,3.942352893176675,-8.397364216834307,-0.44936230861246584
1789031092042164200,0.460164306640625,3.9344221001774073,-7.509864173457026,-0.6995556514464321
1789031092052167400,0.47016748046875,4.32931515197754,-7.077260107421875,-0.9265566270023584
1789031092062171400,0.48017138671875,4.056974713134765,-7.5932105651855455,-1.1730096142642197
1789031092072175600,0.490175537109375,3.314023718206585,-8.769211908611654,-1.2289732012875378
1789031092082178300,0.50017822265625,3.06772022241801,-9.51231283340454,-1.3597570514954622
1789031092092182300,0.510182373046875,3.588608721105754,-9.373898049926757,-1.6135419890806078
1789031092102186500,0.5201865234375,3.8980595779418943,-8.632892636108398,-1.8107646430969235
1789031092112189400,0.530189453125,4.31973805307597,-8.116642318615318,-1.8402432510375977
1789031092122193400,0.540193359375,4.713135605621337,-8.227225092315674,-1.73669402923584
1789031092132197400,0.550197265625,5.0438344176694745,-8.714593598717451,-1.524657544708252
1789031092142200600,0.56020068359375,5.233875051227211,-9.422082527381182,-1.442806652234495
1789031092152204500,0.57020458984375,5.2810103118896485,-9.737069098773599,-1.6742951484680173
1789031092162208300,0.580208251953125,4.925321727752685,-9.214982914733886,-1.8971058327272532
