time,seconds_elapsed,bearingAccuracy,speedAccuracy,verticalAccuracy,horizontalAccuracy,speed,bearing,altitude,longitude,latitude
1789324026767000000,3.842,0,0,1.3893228769302368,20.535999298095703,0,0,64,5.4519279,51.4296546
1789324034282000000,11.356999755859375,0,0,3.0769219398498535,45.78499984741211,0,0,64,5.4521179,51.4295081
1789324041382000000,18.457000244140627,0,0,2.831881046295166,61.321998596191406,0,0,64.0999984741211,5.4515234,51.4295078
1789324047834000000,24.908999755859377,0,0,5.7661333084106445,41.255001068115234,0,0,67.9000015258789,5.4511337,51.4296559
1789324054293000000,31.368,0,0,6.893855094909668,98.4000015258789,0,0,68.0999984741211,5.4509903,51.4298053
1789324059651496400,36.72649633789062,16.82822036743164,1.048618197441101,6.947440147399902,12.319000244140625,3.299999952316284,243,68.0999984741211,5.4510383,51.4291822
1789324060650381300,37.72538134765625,24.087039947509766,1.350703477859497,6.957428932189941,10.562999725341797,3.1700000762939453,245,68.0999984741211,5.4510055,51.429154
1789324061654499000,38.7294990234375,24.47401237487793,1.3106105327606201,6.967470169067383,8.961000442504883,3.009999990463257,241,68.0999984741211,5.4509632,51.429132
1789324062656369400,39.73136938476563,12.09954833984375,0.8700574636459351,6.977488994598389,7.892000198364258,3.690000057220459,231,68.0999984741211,5.4509242,51.4291029
1789324063652634000,40.727634033203124,5.506059646606445,0.4244997203350067,6.987451553344727,7.1570000648498535,3.440000057220459,234,68.0999984741211,5.4508854,51.4290763
1789324064655574300,41.73057421875,3.0235602855682373,0.18384777009487152,6.997480869293213,5.451000213623047,2.950000047683716,231,68.0999984741211,5.4508527,51.4290524
