time,seconds_elapsed,bearingAccuracy,speedAccuracy,verticalAccuracy,horizontalAccuracy,speed,bearing,altitude,longitude,latitude
1789324327739000000,0.279,0,0,3.5850260257720947,29.070999145507812,0,0,67.9000015258789,5.4515447,51.4242881
1789324333982000000,6.522000244140625,0,0,1,20.983999252319336,0,0,63.89999771118164,5.4527493,51.4245125
1789324340718000000,13.258000244140625,0,0,1,14.098999977111816,0,0,63.89999771118164,5.4528706,51.4247521
1789324347547000000,20.087,0,0,1.4337172508239746,23.368999481201172,0,0,63.89999771118164,5.4533482,51.4248605
1789324354527000000,27.067,0,0,1.127747654914856,23.679000854492188,0,0,64,5.45356,51.4250318
1789324361347000000,33.887,0,0,1.07572603225708,28.91699981689453,0,0,65.0999984741211,5.4534544,51.4252418
1789324364997686300,37.53768627929688,11.63493824005127,0.8105553388595581,1.1122329235076904,19.117000579833984,3.509999990463257,37,65.0999984741211,5.4538083,51.4254099
1789324365652832500,38.19283251953125,21.859886169433594,1.297112226486206,1.1187843084335327,14.480999946594238,3.369999885559082,39,65.0999984741211,5.4538485,51.425414
1789324366656413000,39.19641284179688,25.479171752929688,1.4764822721481323,1.1288201808929443,6.267000198364258,3.319999933242798,39,65.0999984741211,5.4538796,51.4254358
1789324367657292800,40.197292724609376,13.087281227111816,0.840595006942749,1.138828992843628,5.646999835968018,3.5199999809265137,42,65.0999984741211,5.4539135,51.4254538
1789324368658092300,41.19809228515625,0.7534664273262024,0.06403124332427979,1.1488369703292847,5.276000022888184,3.6600000858306885,43,65.0999984741211,5.4539521,51.4254728
1789324369671382800,42.2113828125,0.68528151512146,0.06403124332427979,1.1589698791503906,5.052000045776367,4.28000020980835,39,65.0999984741211,5.4539915,51.425499
1789324370655138300,43.19513818359375,0.7424532771110535,0.07211102545261383,1.1688073873519897,3.936000108718872,3.9800000190734863,39,65.0999984741211,5.4540283,51.4255248
