time,seconds_elapsed,bearingAccuracy,speedAccuracy,verticalAccuracy,horizontalAccuracy,speed,bearing,altitude,longitude,latitude
1789322890273000000,14.987,45,1.5,1,20.496999740600586,0.300628125667572,1.7536343336105347,64.5999984741211,5.4595718,51.4374785
1789322896864000000,21.578,0,0,1,18.409000396728516,0,0,64.4000015258789,5.4597791,51.4371714
1789322900956917800,25.670917724609374,18.288198471069336,1.4401389360427856,1.0409291982650757,14.097000122070312,4.5,147,64.4000015258789,5.4598688,51.4371069
1789322901662791200,26.376791259765625,15.555498123168945,1.2296746969223022,1.047987937927246,11.218000411987305,4.369999885559082,132,64.4000015258789,5.46006,51.4370927
1789322902664935200,27.37893505859375,3.685387372970581,0.39051249623298645,1.058009386062622,6.36899995803833,4.5,138,64.4000015258789,5.4601151,51.437054
1789322903665064000,28.37906396484375,0.6767549514770508,0.07211102545261383,1.068010687828064,5.723999977111816,4.300000190734863,131,64.4000015258789,5.4601423,51.4370253
1789322904660722000,29.374721923828126,0.7026470303535461,0.07211102545261383,1.0779671669006348,5.336999893188477,4.260000228881836,137,64.4000015258789,5.4601778,51.4370116
1789322905657074200,30.37107421875,0.7279430031776428,0.07211102545261383,1.0879307985305786,5.078999996185303,4.21999979019165,133,64.4000015258789,5.4602223,51.4369865
1789322906661752800,31.3757529296875,0.7952286005020142,0.07211102545261383,1.0979775190353394,4.079999923706055,3.930000066757202,135,64.4000015258789,5.460259,51.4369706
1789322907662065200,32.37606518554688,6.474731922149658,0.6220128536224365,1.1079806089401245,3.802000045776367,3.700000047683716,138,64.4000015258789,5.4602956,51.4369478
