time,seconds_elapsed,bearingAccuracy,speedAccuracy,verticalAccuracy,horizontalAccuracy,speed,bearing,altitude,longitude,latitude
1789323477661558800,-4.444441162109375,9.600228309631348,0.6044005155563354,1.146945595741272,4.451000213623047,2.5799999237060547,323,63.599998474121094,5.4571238,51.4286328
1789323483714169300,1.60816943359375,15.269120216369629,0.5954830050468445,1.2074717283248901,5.385000228881836,1.6699999570846558,314,63.599998474121094,5.4570268,51.4287265
1789323505971835000,23.8658349609375,11.02573013305664,0.7638062834739685,1.5638020038604736,10.107999801635742,3.259999990463257,323,63.89999771118164,5.4562192,51.4294167
1789323506027000000,23.921,0,0,1.5638020038604736,10.27299976348877,0,0,63.89999771118164,5.4562192,51.4294167
1789323506658184400,24.552184326171876,16.390913009643555,0.9956907033920288,1.5706654787063599,9.031999588012695,3.2899999618530273,328,63.89999771118164,5.4562184,51.429411
1789323507653593000,25.547593017578127,13.057482719421387,0.840595006942749,1.5806195735931396,8.288000106811523,3.5299999713897705,321,63.89999771118164,5.456195,51.429416
1789323508654603000,26.54860302734375,0.998857319355011,0.10295630246400833,1.5906296968460083,7.658999919891357,3.5399999618530273,315,63.89999771118164,5.4561612,51.4294332
1789323509653732400,27.547732421875,0.9229434132575989,0.0860232561826706,1.600620985031128,7.2179999351501465,3.5899999141693115,315,63.89999771118164,5.4561243,51.4294557
1789323510655952000,28.549951904296876,0.9305213689804077,0.06403124332427979,1.6106431484222412,6.881999969482422,3.3299999237060547,311,63.89999771118164,5.4560903,51.4294743
1789323511654735600,29.548735595703125,1.0789388418197632,0.0707106813788414,1.6206309795379639,5.335000038146973,3.200000047683716,310,63.89999771118164,5.456055,51.4294947
