time,seconds_elapsed,z,y,x
1789323482443235000,0.337235107421875,8.386210441589355,4.707272529602051,-1.9192321300506592
1789323482462085600,0.356085693359375,8.477972984313965,4.582229137420654,-1.8159124851226807
1789323482480936400,0.3749365234375,8.545726776123047,4.489599704742432,-1.7275512218475342
1789323482518637800,0.412637939453125,8.625070571899414,4.398299694061279,-1.5599663257598877
1789323482537488600,0.431488525390625,8.647777557373047,4.365673542022705,-1.5255261659622192
1789323482584615400,0.478615478515625,8.714766502380371,4.215964317321777,-1.5648852586746216
1789323482603466000,0.497466064453125,8.74977970123291,4.154547691345215,-1.5334521532058716
1789323482622316800,0.51631689453125,8.75855827331543,4.143412113189697,-1.5133332014083862
1789323482641167600,0.535167724609375,8.7459135055542,4.174164772033691,-1.5019068717956543
1789323482660018200,0.55401806640625,8.726454734802246,4.232795238494873,-1.4501086473464966
1789323482678869000,0.572868896484375,8.707376480102539,4.2870378494262695,-1.404736876487732
1789323482697719800,0.5917197265625,8.696688652038574,4.2993011474609375,-1.4331786632537842
1789323482716570400,0.6105703125,8.700431823730469,4.2731099128723145,-1.4877517223358154
1789323482735421200,0.629421142578125,8.718278884887695,4.239020824432373,-1.4807780981063843
1789323482754272000,0.64827197265625,8.732033729553223,4.224752426147461,-1.4399467706680298
1789323482773122800,0.667122802734375,8.72398567199707,4.24422025680542,-1.4314546585083008
1789323482791973400,0.685973388671875,8.719660758972168,4.263311862945557,-1.4007377624511719
1789323482810824200,0.70482421875,8.741534233093262,4.259582042694092,-1.2696202993392944
1789323482829675000,0.723675048828125,8.75709342956543,4.268549919128418,-1.1239163875579834
1789323482857951200,0.751951171875,8.793667793273926,4.243310928344727,-0.9143875241279602
1789323482876801800,0.7708017578125,8.80848503112793,4.253404140472412,-0.6996599435806274
1789323482895652600,0.789652587890625,8.77976131439209,4.336822032928467,-0.5274008512496948
1789323482914503400,0.80850341796875,8.755640029907227,4.388460636138916,-0.5005708932876587
1789323482933354200,0.827354248046875,8.775175094604492,4.335402011871338,-0.6090785264968872
1789323482952205000,0.846205078125,8.829438209533691,4.1842851638793945,-0.8385540246963501
1789323482971055600,0.8650556640625,8.883157730102539,4.019591808319092,-1.0501344203948975
1789323482989906400,0.883906494140625,8.916254043579102,3.901252508163452,-1.2045838832855225
1789323483008757200,0.90275732421875,8.909077644348145,3.862440586090088,-1.3712315559387207
1789323483027608000,0.921608154296875,8.896469116210938,3.898956537246704,-1.3495808839797974
1789323483046459000,0.940458984375,8.902518272399902,3.9281363487243652,-1.2187243700027466
1789323483065309700,0.959309814453125,8.942771911621094,3.8448140621185303,-1.189382791519165
1789323483084160300,0.97816015625,9.010218620300293,3.6462109088897705,-1.3005781173706055
1789323483103011000,0.997010986328125,9.102653503417969,3.3678667545318604,-1.4034059047698975
1789323483121862000,1.01586181640625,9.201767921447754,3.042654275894165,-1.496699333190918
1789323483140712700,1.034712646484375,9.310576438903809,2.6935691833496094,-1.49272882938385
1789323483159563500,1.0535634765625,9.424310684204102,2.359524965286255,-1.3361904621124268
1789323483187839700,1.08183984375,9.531061172485352,1.7234539985656738,-1.5358954668045044
1789323483206690600,1.100690673828125,9.516746520996094,1.0275484323501587,-2.132155179977417
1789323483234966800,1.128966796875,9.330992698669434,-0.558933675289154,-2.9648866653442383
1789323483263242800,1.15724267578125,8.967519760131836,-2.0980546474456787,-3.3692941665649414
1789323483282093600,1.176093505859375,8.763772010803223,-2.810133218765259,-3.3867170810699463
1789323483300944400,1.1949443359375,8.570398330688477,-3.388099431991577,-3.3525261878967285
1789323483319795200,1.213795166015625,8.338239669799805,-3.911086082458496,-3.368614435195923
1789323483338646000,1.23264599609375,8.032712936401367,-4.448355674743652,-3.4435527324676514
1789323483357496800,1.251496826171875,7.626436233520508,-5.0458831787109375,-3.542166233062744
1789323483376347600,1.27034765625,7.153225898742676,-5.640420436859131,-3.631448745727539
1789323483404624000,1.298623779296875,6.393764972686768,-6.459868907928467,-3.6824238300323486
1789323483423474700,1.317474609375,5.782796382904053,-6.895871639251709,-3.8957176208496094
1789323483442325500,1.336325439453125,5.096370220184326,-7.170707702636719,-4.333399772644043
1789323483461176300,1.35517626953125,4.509222030639648,-7.161054611206055,-4.9554619789123535
1789323483480027100,1.374027099609375,4.16179895401001,-6.929080009460449,-5.553167343139648
1789323483498878000,1.3928779296875,3.8377585411071777,-6.702918529510498,-6.042587757110596
1789323483517728800,1.411728759765625,3.591691255569458,-6.418602466583252,-6.486268520355225
1789323483536579600,1.43057958984375,3.5776212215423584,-5.947732925415039,-6.927877902984619
1789323483555430700,1.4494306640625,3.7010326385498047,-5.436408042907715,-7.274490833282471
1789323483574281500,1.468281494140625,3.7272870540618896,-5.068086624145508,-7.522780418395996
1789323483593132300,1.48713232421875,3.674835205078125,-4.844540119171143,-7.693920612335205
1789323483621408500,1.515408447265625,3.8768718242645264,-4.488442420959473,-7.809875011444092
