time,seconds_elapsed,x,y,z
1789031863817818600,0.053818603515625,1.3814542117796835,-9.42327787464559,1.2276269012451166
1789031863827821800,0.06382177734375,1.3489829978942869,-9.448566045159101,1.2605468818113206
1789031863837825500,0.073825439453125,1.3117232345581054,-9.535954990276693,1.3027445399411022
1789031863847828700,0.083828857421875,1.2460323265075683,-9.571718962097169,1.4062943462647497
1789031863857831700,0.093831787109375,1.273864920806885,-9.587280688366294,1.5144821876525878
1789031863867835600,0.103835693359375,1.3198035190306603,-9.529968317082524,1.6602292137145995
1789031863877838600,0.113838623046875,1.2535140605650843,-9.482685756903885,1.7170915031433105
1789031863887841800,0.123841796875,1.2246341491699217,-9.452158516693116,1.732803743799031
1789031863897845800,0.133845703125,1.2389992130003868,-9.488670092010498,1.6145897445678707
1789031863907848700,0.1438486328125,1.2388497215271,-9.546729482269285,1.5004165451601146
1789031863917851600,0.1538515625,1.2861352043151855,-9.554510637664794,1.4264955689027905
1789031863927854600,0.1638544921875,1.2835910727903246,-9.620050739067793,1.4586670691892505
1789031863937858600,0.173858642578125,1.1578954856321215,-9.761159583935141,1.5937901176452636
1789031863947861800,0.18386181640625,1.2506712383545935,-10.249726944732664,1.6338928493224085
1789031863957864700,0.19386474609375,1.2569558715820313,-10.823885261315107,1.6334439365111293
1789031863967868700,0.20386865234375,0.8708911461427807,-10.920404438349605,1.7649755363464354
1789031863977871600,0.21387158203125,0.4975448863707481,-10.87835451812744,1.833210137530416
1789031863987874800,0.223874755859375,0.5591958713807164,-10.799495500946042,1.8360536903932687
1789031863997878500,0.23387841796875,0.6961141326904295,-10.79006833190918,1.7450735889159141
1789031864007881700,0.2438818359375,0.8897453380860385,-10.896311030578614,1.6175824966430663
1789031864017884700,0.253884765625,0.9325416927613318,-10.98025947985351,1.503857771655172
1789031864027888600,0.263888671875,0.8812159946717323,-10.922946524047852,1.4857519138611854
1789031864037891600,0.2738916015625,0.8225580539979038,-10.796653555518388,1.5487490527831016
1789031864047894800,0.283894775390625,0.9090482967101037,-10.48974566116333,1.6756418869018554
1789031864057897500,0.2938974609375,1.130063037463278,-10.037840097808838,1.6675614562988281
1789031864067901700,0.303901611328125,1.8049286304198202,-9.45470235595703,1.8504186080932616
1789031864077904600,0.313904541015625,2.315641918182373,-9.27618411014974,1.8896236602783203
1789031864087907600,0.323907470703125,2.490567984716594,-9.285759747746589,1.7549499630250036
1789031864097911600,0.33391162109375,2.8571804061889647,-9.203010737389326,2.2273557319641113
1789031864107914800,0.343914794921875,3.0391397323608396,-9.565284545135498,2.0275896770752966
1789031864117917400,0.35391748046875,3.1417911285400386,-9.73631974171102,2.184709014892578
1789031864127921700,0.363921630859375,3.178901254272461,-9.815477449578045,2.050484230450541
1789031864137924600,0.373924560546875,3.362206734356284,-9.612419221276044,2.0027495425902306
1789031864147927800,0.383927734375,3.131915046691894,-9.684397246772049,1.5924436714723704
1789031864157931500,0.393931640625,3.081637104089558,-9.700707745581866,1.3217489540100098
1789031864167934700,0.403934814453125,3.0047230834960934,-9.676164840477705,1.067364589226991
1789031864177937700,0.413937744140625,2.959233251953125,-9.508121811455487,1.0633248123168944
1789031864187941600,0.423941650390625,3.395426574651897,-9.245209126171469,1.252316959735006
1789031864197944600,0.433944580078125,3.454683358001709,-9.261669847106932,1.1628336726866662
1789031864207947800,0.44394775390625,3.199102330780029,-9.587729601177573,1.0202292554993182
1789031864217950500,0.453950439453125,2.8531401908874514,-9.854535202246902,0.8759789708010852
1789031864227954700,0.46395458984375,2.858227869415283,-9.646986676788329,0.9305961847167461
1789031864237957600,0.47395751953125,3.0150480781555173,-9.178170895165204,0.9017162733215838
1789031864247960600,0.483960693359375,3.031957127380371,-8.755297365027666,0.8996211276732384
1789031864257964500,0.493964599609375,2.9689594039365654,-8.429085635265707,0.9349358213562518
1789031864267967700,0.5039677734375,3.0594904464721675,-8.314314177703858,0.8108860286436974
1789031864277970400,0.513970458984375,3.175160314178467,-8.340650395965577,0.6778579797055573
1789031864287974700,0.523974609375,3.0864255074098703,-8.432229193988443,0.5267244382996111
1789031864297977600,0.5339775390625,3.0954037636354568,-8.494629243800045,0.4839279557601548
1789031864307980500,0.54398046875,2.9703064346313477,-8.50884364711344,0.37678728533769024
1789031864317984500,0.553984619140625,2.97225143121928,-8.583661864471436,0.4245217357359826
1789031864327987700,0.56398779296875,2.902520307867229,-8.593387724193931,0.358531607276853
1789031864337990700,0.57399072265625,2.899976760864258,-8.365340600585936,0.2908952825132757
1789031864347993600,0.58399365234375,3.3104327079772946,-8.078634951782227,0.40641496462654336
1789031864357997600,0.59399755859375,3.1401451148986816,-7.917775112262369,0.3497032261170447
1789031864368000800,0.604000732421875,3.151816847991943,-7.847295216369628,0.4079126558383927
1789031864378003700,0.614003662109375,3.1684263297483324,-7.980172823986411,0.44502274503819644
1789031864388007700,0.624007568359375,3.0699647864744066,-8.214055814141034,0.30960075016822663
1789031864398010600,0.6340107421875,3.1084219429016113,-8.499266255950927,0.29673147785346954
1789031864408013600,0.644013671875,2.995594897405803,-8.897750610241294,0.33473906388226904
1789031864418017500,0.654017578125,2.635567115020752,-9.074173929595949,0.01601093134135012
1789031864428020700,0.664020751953125,2.8134865181520583,-9.081956254035235,-0.26635427710525683
1789031864438023700,0.674023681640625,2.9689596961975098,-9.184007930755618,-0.30331542282104484
1789031864448027600,0.684027587890625,2.765302625219524,-9.15647285809815,-0.557399781744182
1789031864458030600,0.694030517578125,2.9420246352598065,-9.168594088524578,-0.5222354563172906
1789031864468033500,0.704033447265625,2.8706477905273435,-9.029881198883055,-0.7236478901736438
1789031864478036000,0.714035888671875,3.24638810582906,-8.725369844275711,-0.8236054441589862
1789031864488039700,0.724039794921875,3.9044939949035644,-8.5432597114563,-0.7255922291744501
1789031864498043000,0.73404296875,3.71565133895874,-8.621520178222655,-0.871490134949237
1789031864508045800,0.7440458984375,3.538779691314697,-8.915857929340005,-0.9136866971004757
1789031864518049800,0.7540498046875,3.6041716164186597,-9.35190249121785,-0.827645367199555
1789031864528052700,0.764052734375,3.177554515838623,-9.5965582197994,-0.9597752251889557
1789031864538056000,0.774055908203125,3.1519661933347582,-9.585785481372474,-1.122581595666707
1789031864548059600,0.7840595703125,3.472041027776897,-9.56992155728638,-1.295113022149354
1789031864558062800,0.794062744140625,3.303100465393066,-9.652674074774978,-1.6187795974731445
1789031864568065800,0.804065673828125,3.4467522727414965,-9.706541274040939,-1.6065087294429539
